"","date","month","year","count"
"1","1","SEP",2015,"75"
"2","1","SEP",2016,"75"
"3","1","SEP",2017,"92"
"4","2","SEP",2015,"77"
"5","2","SEP",2016,"67"
"6","2","SEP",2017,"69"
"7","3","SEP",2015,"67"
"8","3","SEP",2016,"78"
"9","3","SEP",2017,"78"
"10","4","SEP",2015,"71"
"11","4","SEP",2016,"99"
"12","4","SEP",2017,"84"
"13","5","SEP",2015,"62"
"14","5","SEP",2016,"89"
"15","5","SEP",2017,"75"
"16","6","SEP",2015,"77"
"17","6","SEP",2016,"74"
"18","6","SEP",2017,"80"
"19","7","SEP",2015,"85"
"20","7","SEP",2016,"67"
"21","7","SEP",2017,"87"
"22","8","SEP",2015,"84"
"23","8","SEP",2016,"77"
"24","8","SEP",2017,"93"
"25","9","SEP",2015,"79"
"26","9","SEP",2016,"90"
"27","9","SEP",2017,"72"
"28","10","SEP",2015,"66"
"29","10","SEP",2016,"73"
"30","10","SEP",2017,"98"
"31","11","SEP",2015,"92"
"32","11","SEP",2016,"78"
"33","11","SEP",2017,"92"
"34","12","SEP",2015,"79"
"35","12","SEP",2016,"66"
"36","12","SEP",2017,"77"
"37","13","SEP",2015,"81"
"38","13","SEP",2016,"88"
"39","13","SEP",2017,"100"
"40","14","SEP",2015,"70"
"41","14","SEP",2016,"81"
"42","14","SEP",2017,"80"
"43","15","SEP",2015,"87"
"44","15","SEP",2016,"91"
"45","15","SEP",2017,"83"
"46","16","SEP",2015,"70"
"47","16","SEP",2016,"71"
"48","16","SEP",2017,"77"
"49","17","SEP",2015,"70"
"50","17","SEP",2016,"68"
"51","17","SEP",2017,"85"
"52","18","SEP",2015,"76"
"53","18","SEP",2016,"79"
"54","18","SEP",2017,"77"
"55","19","SEP",2015,"81"
"56","19","SEP",2016,"82"
"57","19","SEP",2017,"74"
"58","20","SEP",2015,"69"
"59","20","SEP",2016,"79"
"60","20","SEP",2017,"100"
"61","21","SEP",2015,"70"
"62","21","SEP",2016,"67"
"63","21","SEP",2017,"120"
"64","22","SEP",2015,"68"
"65","22","SEP",2016,"97"
"66","22","SEP",2017,"110"
"67","23","SEP",2015,"70"
"68","23","SEP",2016,"71"
"69","23","SEP",2017,"109"
"70","24","SEP",2015,"78"
"71","24","SEP",2016,"79"
"72","24","SEP",2017,"120"
"73","25","SEP",2015,"60"
"74","25","SEP",2016,"75"
"75","25","SEP",2017,"135"
"76","26","SEP",2015,"76"
"77","26","SEP",2016,"82"
"78","26","SEP",2017,"131"
"79","27","SEP",2015,"78"
"80","27","SEP",2016,"82"
"81","27","SEP",2017,"120"
"82","28","SEP",2015,"84"
"83","28","SEP",2016,"81"
"84","28","SEP",2017,"109"
"85","29","SEP",2015,"83"
"86","29","SEP",2016,"70"
"87","29","SEP",2017,"127"
"88","30","SEP",2015,"73"
"89","30","SEP",2016,"91"
"90","30","SEP",2017,"129"
"91","1","OCT*",2015,"74"
"92","1","OCT*",2016,"90"
